% of Total,% of Total
", {0} failed",", {0} failed"
2D Plan — المخطط,2D Plan — المخطط
"A co-working space is a bookable resource — desks, rooms, studios, or any physical area.","A co-working space is a bookable resource — desks, rooms, studios, or any physical area."
A pending request already exists,A pending request already exists
A pending request already exists between these members,A pending request already exists between these members
About ARKSpace,About ARKSpace
About ARKSpace — عن أرك سبيس,About ARKSpace — عن أرك سبيس
Accent Color,Accent Color
Accept,Accept
Accept or Decline,Accept or Decline
"Accept payments via Stripe, Tap, or other gateways configured in ARKSpace Settings.","Accept payments via Stripe, Tap, or other gateways configured in ARKSpace Settings."
Accepted,Accepted
Achievement Badges,Achievement Badges
Action,Action
Action Controls,Action Controls
Actions,Actions
Active,Active
Active / ساري,Active / ساري
Active Members,Active Members
Active Members / الأعضاء النشطون,Active Members / الأعضاء النشطون
Active Membership,Active Membership
Active Memberships,Active Memberships
Active subscriptions,Active subscriptions
Activity based on bookings,Activity based on bookings
Actual,Actual
Add,Add
Add Co-working Spaces to see them on the floor plan.,Add Co-working Spaces to see them on the floor plan.
Add Credits,Add Credits
Add your co-working space locations. You can add more later.,Add your co-working space locations. You can add more later.
Add-on Amenities,Add-on Amenities
Address / العنوان,Address / العنوان
Adjust Time (optional),Adjust Time (optional)
Adjustment Type,Adjustment Type
Admin,Admin
"Admin, Manager, Front Desk, Ops, Member","Admin, Manager, Front Desk, Ops, Member"
Advanced,Advanced
All Booking Types,All Booking Types
All Branches,All Branches
All Floors,All Floors
All Floors — كل الطوابق,All Floors — كل الطوابق
All Skills,All Skills
All Spaces,All Spaces
All Types,All Types
Allow Anonymous Posts / السماح بالمنشورات المجهولة,Allow Anonymous Posts / السماح بالمنشورات المجهولة
Allow Cross-Location Booking / السماح بالحجز بين الفروع,Allow Cross-Location Booking / السماح بالحجز بين الفروع
Allow Day Passes / السماح بالتصاريح اليومية,Allow Day Passes / السماح بالتصاريح اليومية
Allow Walk-in / السماح بالحضور المباشر,Allow Walk-in / السماح بالحضور المباشر
Already checked in at {0},Already checked in at {0}
Already have an account?,Already have an account?
Always,Always
Amended From,Amended From
Amenities,Amenities
"Amenities are linked to spaces via Space Amenity child entries, enabling filter-by-amenity bookings.","Amenities are linked to spaces via Space Amenity child entries, enabling filter-by-amenity bookings."
"Amenities are the features available in a space — WiFi, projector, whiteboard, coffee machine, etc.","Amenities are the features available in a space — WiFi, projector, whiteboard, coffee machine, etc."
Amenities — المرافق,Amenities — المرافق
Amenity,Amenity
Amenity Catalog,Amenity Catalog
Amenity Fee / رسوم خدمات,Amenity Fee / رسوم خدمات
Amenity Name,Amenity Name
Amenity Total,Amenity Total
Amount,Amount
Amount / المبلغ,Amount / المبلغ
Amount must be greater than zero,Amount must be greater than zero
Amounts,Amounts
An account with this email already exists. Please login.,An account with this email already exists. Please login.
Analytics,Analytics
Analytics & reports,Analytics & reports
Analytics & Reports,Analytics & Reports
Analytics / التحليلات,Analytics / التحليلات
Analytics Dashboard,Analytics Dashboard
Analytics Overview,Analytics Overview
Analytics Snapshot,Analytics Snapshot
Analytics snapshot captured successfully,Analytics snapshot captured successfully
Analytics — التحليلات,Analytics — التحليلات
Announcement,Announcement
Anonymous Member,Anonymous Member
App Configuration,App Configuration
Applies To,Applies To
Approval,Approval
Approval Status,Approval Status
Approve,Approve
"Approve, cancel, check-in gated","Approve, cancel, check-in gated"
Approved,Approved
Approved By,Approved By
Arabic,Arabic
Arabic + RTL Support,Arabic + RTL Support
Arabic Font,Arabic Font
Arabic terms are required,Arabic terms are required
Archived,Archived
Are you sure you want to cancel this booking?,Are you sure you want to cancel this booking?
Are you sure you want to refund this payment?,Are you sure you want to refund this payment?
Are you sure you want to suspend this membership?,Are you sure you want to suspend this membership?
Area,Area
Area (sqm),Area (sqm)
